Название,Рейтинг,Направления
Армянский Шашлычный Двор,4.9,Фастфуд круглосуточно | Точка по продаже шаурмы | Круглосуточный ресторан
Джекина доставка,4.8,Бар молочных коктейлей | Паназиатская кухня | Корабль-ресторан
Инжир,4.5,Чебуречная | Восточная кухня | Детский ресторан
Армянский Шашлычный Двор,5.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Круглосуточный ресторан
PastaMama,4.4,Детский ресторан | Винный бар | Бургерная
Суши Море,4.7,Детский ресторан | Паназиатская кухня | Фреш-бар
Додо Пицца,4.8,Бар молочных коктейлей | Детский ресторан | Пиццерия
Банкет холл,4.2,Банкетный зал | Европейская кухня
Бамбук,4.4,Детский ресторан | Паназиатская кухня | Гриль-бар
Сибирские блины,4.8,Блинная | Бар молочных коктейлей | Точка по продаже шаурмы
Солянка,4.4,Бабл ти бар | Детский ресторан | Винный бар
Party pizza,4.9,Круглосуточный ресторан | Паназиатская кухня | Японская кухня
Dolce,4.9,Бабл ти бар | Детский ресторан | Паназиатская кухня
Maya pizza,4.3,Детский ресторан | Пиццерия | Фастфуд
Харди гарди,4.6,Гриль-бар | Винный бар | Стейк-хаус
Буланже,4.4,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Тот самый пармезан,4.8,Блинная | Семейный ресторан | Пельменная
Пицце-Рио,4.3,Пиццерия | Фастфуд | Кофейня
Dolce,4.8,Детский ресторан | Паназиатская кухня | Бургерная
Пицце-Рио,4.4,Пиццерия | Фастфуд | Кофейня
Наше кафе,4.6,Столовая | Банкетный зал | Кофе на вынос
Leto,4.8,Детский ресторан | Пельменная | Гриль-бар
Радхика,4.2,Восточная кухня | Паназиатская кухня | Пельменная
Bristot,5.0,Винный бар | Кондитерские изделия | Кофейня
Ням-ням,4.5,Точка по продаже шаурмы | Чебуречная | Восточная кухня
Додо Пицца,4.4,Бар молочных коктейлей | Детский ресторан | Пиццерия
Суши Море,4.7,Паназиатская кухня | Суши-бар | Японская кухня
Boncafe,4.8,Точка по продаже шаурмы | Восточная кухня | Пельменная
Итальянцы,4.7,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Буланже,4.7,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Кедр,4.9,Восточная кухня | Детский ресторан | Хинкальная
Мэйк лав пицца,4.1,Доставка итальянской еды | Доставка пасты | Доставка салатов
Доберман,4.4,Пельменная | Винный бар | Стейк-хаус
Rostic`s,4.2,Бар молочных коктейлей | Бургерная
The burger lab,3.8,Кафе | Кафе с фалафелем | Гриль-бар
Bristot,4.8,Винный бар | Кондитерские изделия | Кофейня
Италиано Пицца,4.2,Круглосуточный ресторан | Паназиатская кухня | Японская кухня
Папа Джонс,4.1,Пиццерия | Фастфуд | Доставка еды
Галерея,5.0,Паб | Гриль-бар | Винный бар
Канарейка,4.2,Винный бар | Банкетный зал | Бар
Дыхание вока,4.7,Лапшичная | Паназиатская кухня | Фастфуд
Клаус,4.5,Бар молочных коктейлей | Банкетный зал для свадьбы
Ozero гриль,4.8,Ресторан-пивоварня | Точка по продаже шаурмы | Паназиатская кухня
Пицце-Рио,3.9,Пиццерия | Фастфуд | Кофейня
Сибирская трапеза,5.0,Банкетный зал для свадьбы | Детский ресторан | Винный бар
Снегири,4.4,Кафе | Кафе с бельгийскими вафлями | Детский ресторан
СушиSell,4.8,Паназиатская кухня | Суши-бар | Фастфуд
Baba Roma,4.1,Пекарня | Кондитерские изделия | Кондитерская
Река 827,3.9,Детский ресторан | Винный бар | Панорамный ресторан
Варяг,4.1,Бар | Европейская кухня
Harat`s pub,4.7,Восточная кухня | Паб | Винный бар
Кастелло,4.4,Хинкальная | Гриль-бар | Винный бар
Бургер Кинг,3.9,Бар молочных коктейлей | Бургерная | Фастфуд
Молчание ягнят,4.5,Винный бар | Стейк-хаус | Банкетный зал
Мимино,3.8,Точка по продаже шаурмы | Восточная кухня | Хинкальная
Шашлычный дом,4.8,Фастфуд круглосуточно | Точка по продаже шаурмы | Круглосуточный ресторан
Лада,4.9,Столовая | Банкетный зал | Доставка горячих блюд
Kannam Сhicken,4.2,Лапшичная | Точка по продаже шаурмы | Детский ресторан
Аланамама,3.7,Точка по продаже шаурмы | Паназиатская кухня | Фастфуд
TORTA,3.6,Паназиатская кухня | Пекарня | Кондитерские изделия
