Название,Рейтинг,Направления
Армянский Шашлычный Двор,4.9,Фастфуд круглосуточно | Точка по продаже шаурмы | Круглосуточный ресторан
Джекина доставка,4.8,Бар молочных коктейлей | Паназиатская кухня | Корабль-ресторан
Инжир,4.5,Чебуречная | Восточная кухня | Детский ресторан
Армянский Шашлычный Двор,5.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Круглосуточный ресторан
PastaMama,4.4,Детский ресторан | Винный бар | Бургерная
Суши Море,4.7,Детский ресторан | Паназиатская кухня | Фреш-бар
Додо Пицца,4.8,Бар молочных коктейлей | Детский ресторан | Пиццерия
Банкет холл,4.2,Банкетный зал | Европейская кухня
Бамбук,4.4,Детский ресторан | Паназиатская кухня | Гриль-бар
Сибирские блины,4.8,Блинная | Бар молочных коктейлей | Точка по продаже шаурмы
Солянка,4.4,Бабл ти бар | Детский ресторан | Винный бар
Party pizza,4.9,Круглосуточный ресторан | Паназиатская кухня | Японская кухня
Dolce,4.9,Бабл ти бар | Детский ресторан | Паназиатская кухня
Maya pizza,4.3,Детский ресторан | Пиццерия | Фастфуд
Харди гарди,4.6,Гриль-бар | Винный бар | Стейк-хаус
Буланже,4.4,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Тот самый пармезан,4.8,Блинная | Семейный ресторан | Пельменная
Пицце-Рио,4.3,Пиццерия | Фастфуд | Кофейня
Dolce,4.8,Детский ресторан | Паназиатская кухня | Бургерная
Пицце-Рио,4.4,Пиццерия | Фастфуд | Кофейня
Наше кафе,4.6,Столовая | Банкетный зал | Кофе на вынос
Leto,4.8,Детский ресторан | Пельменная | Гриль-бар
Радхика,4.2,Восточная кухня | Паназиатская кухня | Пельменная
Bristot,5.0,Винный бар | Кондитерские изделия | Кофейня
Ням-ням,4.5,Точка по продаже шаурмы | Чебуречная | Восточная кухня
Додо Пицца,4.4,Бар молочных коктейлей | Детский ресторан | Пиццерия
Суши Море,4.7,Паназиатская кухня | Суши-бар | Японская кухня
Boncafe,4.8,Точка по продаже шаурмы | Восточная кухня | Пельменная
Итальянцы,4.7,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Буланже,4.7,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
